date,ticker,shares_outstanding,nav
2026-03-06,EWZ,253800000,36.22
2026-03-09,EWJ,223800000,86.23
2026-03-09,EWY,127250000,128.31
2026-03-09,EWZ,254600000,37.01
2026-03-10,EWJ,224700000,86.47
2026-03-10,EWY,128600000,132.85
2026-03-10,EWZ,254600000,37.56
2026-03-11,EWJ,227400000,85.63
2026-03-11,EWY,131950000,132.63
2026-03-11,EWZ,254600000,37.6
2026-03-12,EWJ,226950000,83.64
2026-03-12,EWY,131950000,126.33
2026-03-12,EWZ,254600000,36.13
2026-03-13,EWJ,227850000,83.18
2026-03-13,EWY,132100000,125.77
2026-03-13,EWZ,254600000,35.43
2026-03-16,EWJ,228450000,85.02
2026-03-16,EWY,132250000,131.3
2026-03-16,EWZ,254600000,36.44
2026-03-17,EWJ,228450000,84.93
2026-03-17,EWY,132250000,133.66
2026-03-17,EWZ,254600000,36.72
2026-03-18,EWJ,229800000,83.87
2026-03-18,EWY,131550000,133.38
2026-03-18,EWZ,254600000,36.21
2026-03-19,EWJ,229800000,83.95
2026-03-19,EWY,131550000,133.46
2026-03-19,EWZ,254600000,36.51
2026-03-20,EWJ,229800000,81.0
2026-03-20,EWY,131550000,127.56
2026-03-20,EWZ,254600000,35.18
2026-03-23,EWJ,229800000,83.52
2026-03-23,EWY,131550000,129.8
2026-03-23,EWZ,254600000,36.74
2026-03-24,EWJ,226350000,83.14
2026-03-24,EWY,131550000,129.42
2026-03-24,EWZ,254600000,36.69
2026-03-25,EWJ,225150000,84.68
2026-03-25,EWY,131100000,129.88
2026-03-25,EWZ,254600000,37.45
2026-03-26,EWJ,224850000,82.58
2026-03-26,EWY,131100000,120.32
2026-03-26,EWZ,254600000,36.75
2026-03-27,EWJ,220800000,81.55
2026-03-27,EWY,131100000,119.27
2026-03-27,EWZ,254600000,36.59
2026-03-30,EWJ,214200000,81.59
2026-03-30,EWY,130900000,117.21
2026-03-30,EWZ,254600000,36.7
2026-03-31,EWJ,217200000,84.39
2026-03-31,EWY,130800000,120.31
2026-03-31,EWZ,254600000,38.18
2026-04-01,EWJ,220200000,86.44
2026-04-01,EWY,130250000,127.95
2026-04-01,EWZ,254600000,38.38
2026-04-02,EWJ,220200000,85.14
2026-04-02,EWY,130300000,123.35
2026-04-02,EWZ,254600000,38.34
2026-04-06,EWJ,220200000,85.24
2026-04-06,EWY,130300000,126.91
2026-04-06,EWZ,255700000,38.5
2026-04-07,EWJ,220200000,85.3
2026-04-07,EWY,130300000,127.66
2026-04-07,EWZ,256900000,38.42
2026-04-08,EWJ,220200000,89.38
2026-04-08,EWY,130300000,140.29
2026-04-08,EWZ,256900000,39.51
2026-04-09,EWJ,225300000,88.23
2026-04-09,EWY,130300000,139.26
2026-04-09,EWZ,256900000,40.39
2026-04-10,EWJ,224400000,88.01
2026-04-10,EWY,130100000,138.36
2026-04-10,EWZ,259550000,41.24
2026-04-13,EWJ,224550000,88.38
2026-04-13,EWY,130100000,140.42
2026-04-13,EWZ,265400000,41.47
2026-04-14,EWJ,224550000,89.12
2026-04-14,EWY,130100000,142.94
2026-04-14,EWZ,273550000,41.66
2026-04-15,EWJ,225900000,88.74
2026-04-15,EWY,130400000,145.99
2026-04-15,EWZ,278550000,41.49
2026-04-16,EWJ,229800000,89.12
2026-04-16,EWY,131500000,147.68
2026-04-16,EWZ,285300000,41.42
2026-04-17,EWJ,230850000,89.79
2026-04-17,EWY,131500000,148.74
2026-04-17,EWZ,285300000,41.19
2026-04-20,EWJ,231750000,89.21
2026-04-20,EWY,131900000,148.03
2026-04-20,EWZ,288700000,41.25
2026-04-21,EWJ,231750000,87.23
2026-04-21,EWY,132450000,150.77
2026-04-21,EWZ,290700000,41.29
2026-04-22,EWJ,231750000,88.11
2026-04-22,EWY,133000000,153.57
2026-04-22,EWZ,290700000,40.61
2026-04-23,EWJ,233700000,86.87
2026-04-23,EWY,133000000,152.79
2026-04-23,EWZ,291800000,40.02
2026-04-24,EWJ,233700000,87.62
2026-04-24,EWY,133050000,153.38
2026-04-24,EWZ,291800000,39.94
2026-04-27,EWJ,233700000,87.52
2026-04-27,EWY,133050000,158.01
2026-04-27,EWZ,291800000,39.88
2026-04-28,EWJ,234450000,87.51
2026-04-28,EWY,133050000,156.82
2026-04-28,EWZ,291800000,39.68
2026-04-29,EWJ,234450000,87.07
2026-04-29,EWY,133050000,158.47
2026-04-29,EWZ,291800000,38.72
